id,cases
16.3888,229.057
16.4252,229.378
16.4271,219.872
16.4477,207.788
16.5015,212.298
16.4983,228.571
16.5345,229.376
16.5532,227.12
16.5719,224.703
16.6084,224.541
16.626,227.763
16.6807,227.279
16.7169,228.728
16.7532,229.694
16.7716,228.405
16.7722,225.666
16.809,223.732
16.8453,224.375
16.8457,222.603
16.8664,209.874
16.8839,213.418
16.9204,213.418
16.9393,209.711
16.9405,203.75
16.9964,197.626
17.0324,199.881
17.0485,210.837
17.0667,210.837
17.1039,206.808
17.1045,203.747
17.1409,204.068
17.1403,206.968
17.1758,211.962
17.2117,214.862
17.2655,218.889
17.302,218.727
17.3204,218.082
17.3393,214.537
17.3938,215.341
17.4153,198.746
17.4521,197.134
17.4506,204.706
17.4874,202.611
17.5042,210.022
17.505,206.155
17.5415,205.832
17.5409,208.894
17.5773,208.893
17.5958,207.765
17.6139,208.248
17.6132,211.954
17.6496,211.953
17.6501,209.375
17.6873,205.507
17.7056,205.507
17.7235,206.795
17.7413,209.212
17.7408,211.468
17.7589,212.273
17.7951,213.561
17.8322,210.177
17.8504,210.176
17.8481,221.616
17.8664,221.616
17.8858,215.332
17.9041,215.331
17.9218,217.909
17.9399,218.553
18.0129,218.068
18.0314,216.618
18.0508,210.495
18.1046,215.005
18.1063,206.143
18.1246,206.143
18.1416,212.265
18.1588,217.259
18.1762,221.609
18.1944,221.609
18.2131,219.031
18.2674,220.802
18.3042,219.19
18.3217,222.734
18.376,224.989
18.4126,223.86
18.4312,222.249
18.4318,219.026
18.4676,222.248
18.4682,219.348
18.5046,219.508
18.5402,223.697
18.5765,224.34
18.5768,222.89
18.6315,222.889
18.6312,224.5
18.6671,227.078
18.7038,225.627
18.7044,222.888
18.7408,222.887
18.759,223.37
18.7602,217.247
18.7795,211.93
18.7977,211.93
18.8133,224.819
18.814,221.597
18.8499,224.496
18.8681,224.496
18.8858,227.073
18.9404,227.394
18.9764,229.488
19.0138,224.976
19.0142,222.72
19.0504,224.009
19.1054,222.396
19.1597,224.329
19.1974,217.883
19.2156,217.883
19.215,221.266
19.2333,220.46
19.233,222.394
19.251,223.36
19.3056,223.52
19.3054,224.809
19.3415,226.258
19.36,225.13
19.3605,222.552
19.3972,221.263
19.3965,224.968
19.4147,224.968
19.4144,226.579
19.4326,226.579
19.432,229.479
19.4865,230.445
19.5043,232.7
19.5229,230.444
19.5415,228.832
19.5599,227.865
19.5786,225.448
19.5968,225.609
19.5962,228.831
19.6144,228.831
19.6328,227.703
19.6513,226.413
19.6693,227.702
19.7054,229.151
19.7418,229.473
19.7604,227.539
19.797,227.055
19.833,228.988
19.8513,228.826
19.8879,227.698
19.9252,223.669
19.9804,220.767
19.9978,224.956
20.088,229.627
20.1428,229.304
20.1608,230.27
20.1795,227.692
20.198,226.241
20.2343,227.368
20.253,224.629
20.3085,220.439
20.3267,220.438
20.416,229.943
20.4347,227.364
20.4897,225.752
20.5447,224.301
20.5443,225.912
20.599,225.911
20.5991,225.266
20.6358,224.138
20.6902,225.748
20.709,222.525
20.7285,216.241
20.7459,220.269
20.763,225.908
20.7827,218.334
20.7997,224.618
20.8171,228.807
20.853,231.545
20.9085,227.194
20.9622,232.51
20.9809,229.77
21.0361,227.03
21.1807,233.15
21.2555,223.642
21.3266,232.502
21.3641,227.507
21.4187,227.828
21.4364,230.083
21.4733,227.988
21.4913,229.115
21.4912,229.76
21.5276,229.759
21.5467,225.408
21.5645,227.664
21.6009,227.663
21.6748,222.828
21.6561,225.406
21.7289,225.727
21.7658,223.148
21.8205,223.308
21.8755,221.374
21.8933,223.629
21.9484,221.533
21.9476,225.723
22.0202,227.01
22.0388,225.076
22.0748,227.17
22.1297,226.202
22.1293,228.458
22.1834,231.196
22.2201,229.745
22.2387,227.972
22.275,228.616
22.3118,227.004
22.3298,227.809
22.4221,222.168
22.4761,225.229
22.4937,228.773
22.53,229.094
22.6031,228.448
22.6036,225.871
22.64,226.031
22.6574,230.22
22.6761,227.802
22.7307,227.963
22.7666,231.023
22.7846,231.828
22.8026,232.956
22.8043,224.416
22.841,223.288
22.8588,225.382
22.8955,224.092
22.9324,221.836
22.968,226.024
23.0225,227.151
23.0584,229.567
23.0949,229.244
23.1502,226.343
23.2229,227.308
23.2585,231.335
23.3131,231.818
23.3505,226.822
23.3688,226.5
23.4052,226.66
23.4057,224.082
23.4418,226.176
23.4963,226.819
23.5328,226.496
23.6231,230.845
23.6599,229.072
23.6781,229.071
23.6959,231.488
23.7325,230.52
23.7687,231.647
23.7869,231.647
23.8056,229.23
23.8418,230.84
23.9156,226.005
23.9701,226.81
